# q=2.000000e+00 chizA=0.000000e+00 chizB=0.000000e+00 f0=1.000000e+01
# M=1.000000e+00 LambdaA=[0.000000e+00,0.000000e+00,0.000000e+00] LambdaBl2=[0.000000e+00,0.000000e+00,0.000000e+00]
# D=1.000000e+00 phi=0.000000e+00 iota=0.000000e+00
# t:0 real:1 imag:2 Ampli:3 Phase:4
0.000000000e+00 2.630693417207e-01 5.638717924387e-02 0.000000000000e+00 0.000000000000e+00
5.000000000e-01 2.619306523028e-01 6.141990715622e-02 0.000000000000e+00 0.000000000000e+00
1.000000000e+00 2.607037006440e-01 6.643202650566e-02 0.000000000000e+00 0.000000000000e+00
1.500000000e+00 2.593885360935e-01 7.142213276214e-02 0.000000000000e+00 0.000000000000e+00
2.000000000e+00 2.579831818667e-01 7.638813961663e-02 0.000000000000e+00 0.000000000000e+00
2.500000000e+00 2.564857342425e-01 8.132778736798e-02 0.000000000000e+00 0.000000000000e+00
3.000000000e+00 2.548943710458e-01 8.623864573890e-02 0.000000000000e+00 0.000000000000e+00
3.500000000e+00 2.532077638866e-01 9.111826346168e-02 0.000000000000e+00 0.000000000000e+00
4.000000000e+00 2.514262749325e-01 9.596467284430e-02 0.000000000000e+00 0.000000000000e+00
4.500000000e+00 2.495507091105e-01 1.007760608168e-01 0.000000000000e+00 0.000000000000e+00
5.000000000e+00 2.475819041363e-01 1.055506386470e-01 0.000000000000e+00 0.000000000000e+00
5.500000000e+00 2.455207297151e-01 1.102866424710e-01 0.000000000000e+00 0.000000000000e+00
6.000000000e+00 2.433680867354e-01 1.149823337986e-01 0.000000000000e+00 0.000000000000e+00
6.500000000e+00 2.411249064574e-01 1.196359999920e-01 0.000000000000e+00 0.000000000000e+00
7.000000000e+00 2.387921496956e-01 1.242459547191e-01 0.000000000000e+00 0.000000000000e+00
7.500000000e+00 2.363708059980e-01 1.288105383808e-01 0.000000000000e+00 0.000000000000e+00
8.000000000e+00 2.338618928208e-01 1.333281185131e-01 0.000000000000e+00 0.000000000000e+00
8.500000000e+00 2.312664547010e-01 1.377970901624e-01 0.000000000000e+00 0.000000000000e+00
9.000000000e+00 2.285855624267e-01 1.422158762359e-01 0.000000000000e+00 0.000000000000e+00
9.500000000e+00 2.258203114356e-01 1.465829273236e-01 0.000000000000e+00 0.000000000000e+00
1.000000000e+01 2.229717667957e-01 1.508966850264e-01 0.000000000000e+00 0.000000000000e+00
1.050000000e+01 2.200409303960e-01 1.551555517367e-01 0.000000000000e+00 0.000000000000e+00
1.100000000e+01 2.170288268405e-01 1.593579417380e-01 0.000000000000e+00 0.000000000000e+00
1.150000000e+01 2.139365119572e-01 1.635022873336e-01 0.000000000000e+00 0.000000000000e+00
1.200000000e+01 2.107650725133e-01 1.675870394819e-01 0.000000000000e+00 0.000000000000e+00
1.250000000e+01 2.075156259170e-01 1.716106684266e-01 0.000000000000e+00 0.000000000000e+00
1.300000000e+01 2.041893199065e-01 1.755716643234e-01 0.000000000000e+00 0.000000000000e+00
1.350000000e+01 2.007873322248e-01 1.794685378634e-01 0.000000000000e+00 0.000000000000e+00
1.400000000e+01 1.973108702821e-01 1.832998208905e-01 0.000000000000e+00 0.000000000000e+00
1.450000000e+01 1.937611708039e-01 1.870640670158e-01 0.000000000000e+00 0.000000000000e+00
1.500000000e+01 1.901394994675e-01 1.907598522256e-01 0.000000000000e+00 0.000000000000e+00
1.550000000e+01 1.864471505231e-01 1.943857754849e-01 0.000000000000e+00 0.000000000000e+00
1.600000000e+01 1.826854464040e-01 1.979404593348e-01 0.000000000000e+00 0.000000000000e+00
1.650000000e+01 1.788557373222e-01 2.014225504846e-01 0.000000000000e+00 0.000000000000e+00
1.700000000e+01 1.749594008519e-01 2.048307203970e-01 0.000000000000e+00 0.000000000000e+00
1.750000000e+01 1.709978415157e-01 2.081636658871e-01 0.000000000000e+00 0.000000000000e+00
1.800000000e+01 1.669724963477e-01 2.114201173410e-01 0.000000000000e+00 0.000000000000e+00
1.850000000e+01 1.628848424963e-01 2.145988515064e-01 0.000000000000e+00 0.000000000000e+00
1.900000000e+01 1.587363827505e-01 2.176986767297e-01 0.000000000000e+00 0.000000000000e+00
1.950000000e+01 1.545286425547e-01 2.207184305430e-01 0.000000000000e+00 0.000000000000e+00
2.000000000e+01 1.502631694380e-01 2.236569800899e-01 0.000000000000e+00 0.000000000000e+00
2.050000000e+01 1.459415324357e-01 2.265132225400e-01 0.000000000000e+00 0.000000000000e+00
2.100000000e+01 1.415653215028e-01 2.292860854915e-01 0.000000000000e+00 0.000000000000e+00
2.150000000e+01 1.371361469205e-01 2.319745273633e-01 0.000000000000e+00 0.000000000000e+00
2.200000000e+01 1.326556386955e-01 2.345775377741e-01 0.000000000000e+00 0.000000000000e+00
2.250000000e+01 1.281254459520e-01 2.370941379110e-01 0.000000000000e+00 0.000000000000e+00
2.300000000e+01 1.235472363173e-01 2.395233808853e-01 0.000000000000e+00 0.000000000000e+00
2.350000000e+01 1.189226953008e-01 2.418643520764e-01 0.000000000000e+00 0.000000000000e+00
2.400000000e+01 1.142535256670e-01 2.441161694638e-01 0.000000000000e+00 0.000000000000e+00
2.450000000e+01 1.095414468024e-01 2.462779839466e-01 0.000000000000e+00 0.000000000000e+00
