# q=2.000000e+00 chizA=0.000000e+00 chizB=0.000000e+00 f0=9.970000e+00
# M=6.000000e+01 LambdaA=[0.000000e+00,0.000000e+00,0.000000e+00] LambdaBl2=[0.000000e+00,0.000000e+00,0.000000e+00]
# D=1.000000e+00 phi=2.098301e-01 iota=0.000000e+00
# t:0 real:1 imag:2 Ampli:3 Phase:4
0.000000000e+00 6.726729754398e-20 3.778870787633e-20 0.000000000000e+00 0.000000000000e+00
2.441406250e-04 6.686598290091e-20 3.849534210179e-20 0.000000000000e+00 0.000000000000e+00
4.882812500e-04 6.645760090368e-20 3.919798530379e-20 0.000000000000e+00 0.000000000000e+00
7.324218750e-04 6.604222960381e-20 3.989660877930e-20 0.000000000000e+00 0.000000000000e+00
9.765625000e-04 6.561987137592e-20 4.059112796715e-20 0.000000000000e+00 0.000000000000e+00
1.220703125e-03 6.519055375118e-20 4.128147601944e-20 0.000000000000e+00 0.000000000000e+00
1.464843750e-03 6.475431783517e-20 4.196759647524e-20 0.000000000000e+00 0.000000000000e+00
1.708984375e-03 6.431120421497e-20 4.264943273772e-20 0.000000000000e+00 0.000000000000e+00
1.953125000e-03 6.386124874711e-20 4.332692445089e-20 0.000000000000e+00 0.000000000000e+00
2.197265625e-03 6.340448584293e-20 4.400000988576e-20 0.000000000000e+00 0.000000000000e+00
2.441406250e-03 6.294095043490e-20 4.466862750498e-20 0.000000000000e+00 0.000000000000e+00
2.685546875e-03 6.247067889047e-20 4.533271679495e-20 0.000000000000e+00 0.000000000000e+00
2.929687500e-03 6.199370860125e-20 4.599221798187e-20 0.000000000000e+00 0.000000000000e+00
3.173828125e-03 6.151007734376e-20 4.664707148930e-20 0.000000000000e+00 0.000000000000e+00
3.417968750e-03 6.101982315560e-20 4.729721782028e-20 0.000000000000e+00 0.000000000000e+00
3.662109375e-03 6.052298422946e-20 4.794259744193e-20 0.000000000000e+00 0.000000000000e+00
3.906250000e-03 6.001959912500e-20 4.858315096884e-20 0.000000000000e+00 0.000000000000e+00
